Airline	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023
AsiaJet	0	0	0	0	0	0	0	0	0	0	0	0	0
Asiana	0	0	0	0	0	0	0	0	3	0	0	0	0
Astute Air	0	0	2	2	0	0	0	0	0	0	0	0	0
Athena Airways	30	35	46	56	30	30	35	0	0	0	0	0	0
Atlantique	53	64	72	74	82	104	0	0	0	0	0	0	0
auf den Punkt	0	0	0	0	0	0	0	0	0	0	0	0	0
Australasian Airlines	0	0	0	0	0	0	20	0	0	0	0	0	0
Australia Connect	0	0	0	0	0	0	0	0	0	0	0	6	9
Avianca	11	0	0	0	0	0	0	0	0	0	0	0	0
Azul Linhas Aereas Brasileiras	70	101	105	105	0	0	0	0	0	0	0	0	0
Azur Pacific	0	0	6	17	50	32	74	0	26	57	73	73	73
banana	0	0	0	0	0	0	0	0	4	0	0	0	0
Bark and Fly	55	74	88	98	123	123	124	0	6	26	112	188	210
Bayanihan Airlines	0	0	0	0	0	0	0	0	3	18	32	49	58
BEA	0	0	0	0	0	0	0	0	0	0	0	8	10
BearAir	0	0	0	0	0	0	0	0	2	4	12	22	22
BEE Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Bell Air	0	0	0	0	0	0	0	0	0	0	0	0	0
BergenAir Int	0	0	0	0	0	0	3	0	0	0	0	0	0
Biscuit Aviation	11	11	15	15	15	15	35	0	11	25	28	28	28
Bison Express	23	29	55	47	68	78	78	0	0	0	0	0	0
BizzCel	0	0	0	0	0	0	0	0	0	0	0	0	0
Blue Dart Express	113	113	113	113	0	0	0	0	0	0	0	0	0
Blue Horizon	29	29	29	0	0	0	0	0	0	0	0	0	0
Bluebird	0	0	9	18	132	145	155	0	6	31	67	92	103
BlueSky	0	0	0	0	0	0	0	0	0	19	44	58	67
BN Air	0	0	0	0	15	27	34	0	0	0	0	0	0
BOAC	0	0	0	0	103	153	199	0	0	0	0	0	0
Bolt	8	16	22	21	39	51	51	0	0	0	0	0	0
BOOM	21	21	4	7	0	0	0	0	0	0	0	0	0
Borealis	34	39	53	67	70	0	0	0	0	0	0	0	0
Bradleys Steaks and Airways	139	165	187	249	322	311	313	0	0	0	0	0	0
Buco	0	0	0	0	0	0	0	0	32	76	116	129	137
BunnyAir	0	0	0	0	0	0	12	0	19	59	84	111	113
BunnyTest	0	0	0	0	0	0	0	0	0	0	0	0	0
Bush Chicks	199	252	329	353	378	380	383	0	0	0	0	0	0
caelestis Airlines	0	0	7	4	4	9	23	0	0	0	0	0	0
Caelum Airlines	0	0	0	0	0	0	0	0	17	52	54	54	54
Canada Goose	0	0	0	0	0	0	0	0	10	13	2	2	2
Canadian Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Capp Air	0	0	0	0	0	0	0	0	0	0	0	0	0
Carrot Origin Airways	0	0	0	0	0	0	0	0	32	77	92	139	148
Cathay Atlantic	0	0	0	0	0	0	0	0	0	25	40	40	40
Cathay Pacific	49	0	0	0	0	0	0	0	11	17	17	0	0
CAVE Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
celestisExpress	0	0	0	0	0	0	8	0	0	0	0	0	0
Cheap Trick	6	6	0	0	0	0	0	0	0	0	0	0	0
Chicken Fly Good Airways	0	0	0	0	0	0	0	0	26	67	106	132	134
Chicken Wings	301	318	338	355	382	382	382	0	37	98	154	195	204
China Number One	392	424	434	439	472	472	472	0	0	0	0	0	0
China Western	3	3	0	0	0	0	0	0	0	0	0	0	0
CitrusAir	0	0	0	0	4	3	12	0	0	0	0	0	0
Clearsky Airways	0	0	10	12	16	16	16	0	0	0	0	0	0
Cloud Stream	0	0	0	0	0	5	17	0	9	10	20	9	8
Cock of the Walk	163	169	191	213	259	274	288	0	0	0	0	0	0
Cold Air	0	0	0	0	0	0	0	0	53	133	256	279	291
Condor	0	0	0	0	0	0	0	0	18	48	67	70	70
Congo Airways	0	0	0	0	0	0	0	0	0	0	0	0	0
ContinentalSky	105	0	0	0	21	28	33	0	0	0	0	0	0
CopeAir	0	0	0	7	0	0	0	0	0	0	0	0	0
Corona Air	0	0	0	0	0	0	0	0	0	0	0	0	0
Corridian AIrlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Corsair	0	0	0	0	0	0	0	0	0	0	12	21	24
Cosmicair	0	0	0	0	0	0	0	0	1	5	7	8	8
